3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,
3,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,
3,5,6,5,1,1,5,5,6,5,5,5,6,5,5,5,3,5,5,6,5,5,5,6,5,5,5,6,5,5,5,6,5,5,5,6,5,5,5,3,
3,7,7,7,1,1,7,7,7,7,7,7,7,7,7,7,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,10,10,1,1,10,10,1,1,10,10,1,1,10,10,1,1,10,10,1,1,10,10,3,
3,1,1,1,1,1,9,9,1,1,1,1,1,1,1,1,3,1,1,11,12,1,1,13,12,1,1,11,12,1,1,11,12,1,1,12,13,1,1,3,
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3,
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,13,12,1,1,11,13,1,1,12,13,1,1,12,13,1,1,11,12,1,1,3,
3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,3,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,3,
3,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,4,1,1,12,11,1,1,12,11,1,1,11,12,1,1,11,12,1,1,13,11,1,1,3,
3,5,5,6,5,5,5,6,5,5,5,6,5,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,
3,7,7,7,7,7,7,7,7,7,7,7,7,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,15,1,1,9,8,1,1,8,14,1,1,1,10,1,3,
3,1,14,1,1,14,14,15,1,9,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,14,15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,1,3,
3,1,14,15,15,1,9,1,15,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,11,1,1,1,11,1,1,1,1,1,3,
