2,2,1,1,5,2,2,2,13,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,12,2,13,2,2,5,
1,1,2,2,2,2,2,2,2,2,1,4,10,4,1,1,2,1,2,2,2,2,13,2,2,2,2,2,2,10,2,2,
1,2,2,12,1,2,2,6,13,4,1,10,2,2,2,2,2,2,2,1,1,2,2,2,15,13,2,2,2,2,2,2,
2,2,9,2,2,2,2,5,4,2,2,2,2,2,2,2,6,1,2,2,2,4,6,4,2,2,2,2,9,2,2,2,
1,2,2,6,2,2,11,1,1,2,2,1,2,1,4,1,5,1,2,2,15,1,5,6,2,2,2,6,2,13,2,9,
1,10,2,5,1,10,1,2,2,2,9,4,10,4,4,4,4,10,1,2,2,6,4,5,10,2,2,5,2,2,2,1,
6,1,2,2,16,6,2,2,11,10,4,4,4,4,4,4,4,4,4,4,4,5,1,1,1,2,2,1,2,2,2,2,
5,2,2,10,2,5,2,4,4,4,4,9,1,1,1,1,1,9,4,4,4,4,4,10,2,1,2,11,4,13,1,2,
2,2,1,2,2,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,2,2,6,16,1,2,2,
2,15,2,13,9,4,4,9,1,1,1,1,1,1,1,1,1,1,1,1,1,14,4,4,4,4,2,5,2,2,2,2,
2,1,2,1,4,4,1,1,1,16,1,1,1,1,1,1,1,1,1,1,1,14,14,9,4,4,4,10,2,6,10,1,
11,6,2,10,4,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,14,14,14,14,14,4,4,2,2,5,1,13,
10,5,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,14,14,14,14,4,4,4,2,2,1,10,
10,2,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,14,14,4,4,1,2,2,2,
11,2,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,3,3,14,14,4,9,2,2,2,2,
1,2,6,2,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,14,14,14,14,9,4,10,2,6,2,4,
2,2,5,2,10,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,14,4,4,1,2,5,1,1,
1,1,2,4,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,2,2,2,1,13,
13,9,1,12,1,2,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,4,4,4,1,2,2,11,2,
14,2,2,2,10,2,13,4,4,4,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,10,6,2,10,2,2,1,
14,2,2,14,6,14,1,10,4,4,4,4,9,1,1,1,1,1,4,4,4,4,10,9,1,2,5,1,12,2,2,6,
9,2,14,13,5,2,2,11,10,2,4,4,4,1,1,1,1,4,4,4,6,9,2,2,2,2,4,1,13,2,13,5,
14,14,2,16,2,14,2,1,2,13,1,4,4,9,1,1,1,4,10,11,5,1,10,10,9,13,2,2,2,1,2,1
