1,10,1,1,1,13,1,9,1,1,1,4,9,1,1,1,1,9,13,2,2,2,2,2,2,2,1,1,1,1,1,1,
1,1,1,2,2,1,2,2,2,1,13,1,9,1,1,1,1,9,10,2,2,1,1,6,2,2,2,2,2,2,2,2,
2,2,2,2,6,2,2,2,6,2,2,1,9,9,1,1,1,9,10,1,1,2,1,5,2,2,2,2,1,1,1,2,
1,2,2,1,5,2,13,1,5,1,2,2,1,9,1,1,1,9,1,11,2,2,2,10,1,2,2,2,9,1,1,2,
1,1,1,2,2,16,1,2,2,2,1,1,4,9,1,1,1,9,9,1,6,2,2,2,6,1,2,1,2,1,2,2,
2,2,2,2,10,2,2,10,6,2,2,2,9,9,1,1,1,9,9,1,5,2,4,2,5,2,2,2,2,6,2,1,
2,1,6,13,1,2,2,2,5,4,2,2,1,9,1,1,1,9,4,2,2,1,2,2,2,2,12,2,2,5,2,2,
1,1,5,13,13,1,15,2,2,2,2,1,10,9,1,1,1,9,1,1,1,1,2,1,1,2,1,2,2,1,1,1,
9,1,2,2,2,2,1,13,1,6,1,1,9,9,1,1,1,9,10,1,2,2,2,2,2,1,15,1,4,6,2,1,
2,6,2,2,1,12,1,11,9,5,1,2,9,1,1,1,1,9,11,1,1,1,1,16,6,13,1,2,1,5,13,2,
2,1,2,2,6,2,1,10,1,1,2,2,9,1,1,1,1,9,13,1,4,2,2,1,5,1,1,2,1,2,1,6,
2,5,2,1,5,2,2,1,13,6,1,9,9,1,1,1,1,9,9,2,1,1,2,2,2,13,12,1,13,2,2,5,
1,13,1,1,1,1,2,2,2,5,4,9,1,1,1,1,1,1,9,9,2,1,13,1,2,2,1,1,1,10,2,1,
13,13,2,2,2,2,1,6,1,10,9,1,1,1,1,1,1,1,1,9,10,2,2,1,15,13,1,2,2,2,2,2,
1,2,9,1,1,2,2,5,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,11,2,1,1,9,1,2,2,
1,2,1,6,2,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,2,2,13,1,13,2,2,9,
1,2,1,5,13,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,9,2,2,5,2,11,2,1,
6,1,2,1,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,6,2,1,1,2,2,1,
5,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,11,4,2,2,1,
